                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2318,                 5.3199,                 4.1942,                  1e-05,                 0.0011,                  1e-05,                      0,                  5.297,                 6.4026,                  4.159,             0.00018564,             0.00018564,             0.00018564
                      2,                 4.7934,                 4.1223,                 3.8334,                0.00017,                0.01477,                0.00014,                  3e-05,                  5.313,                 6.4745,                  4.172,             0.00037467,             0.00037467,             0.00037467
                      3,                 4.2935,                 2.9327,                 3.2952,                 0.0001,                0.00117,                  7e-05,                  2e-05,                 5.4139,                 7.2024,                 4.3505,             0.00055989,             0.00055989,             0.00055989
                      4,                 3.6964,                 2.5097,                 2.9115,                  7e-05,                 0.0013,                0.00053,                 0.0001,                 5.3324,                 7.1781,                 4.2511,             0.00069279,             0.00069279,             0.00069279
                      5,                 3.3325,                 2.4007,                  2.692,                0.91239,                0.02781,                0.00866,                0.00271,                  3.785,                 5.1845,                 3.3011,             0.00069279,             0.00069279,             0.00069279
                      6,                 3.1234,                 2.2408,                 2.5438,                0.84975,                0.03028,                0.02828,                0.00957,                 3.3157,                  5.875,                 2.8694,             0.00068573,             0.00068573,             0.00068573
                      7,                  3.001,                 2.1385,                 2.3904,                0.65442,                0.04145,                0.02694,                0.00635,                 3.3361,                 4.9956,                 2.8042,             0.00067866,             0.00067866,             0.00067866
                      8,                 2.8763,                 2.0409,                 2.3083,                0.67781,                0.04806,                0.04545,                0.01848,                 3.0845,                  3.618,                 2.5942,             0.00067159,             0.00067159,             0.00067159
                      9,                 2.7269,                 1.8878,                 2.1685,                0.78021,                0.03784,                0.05297,                0.02064,                 2.8393,                 3.0503,                 2.4102,             0.00066452,             0.00066452,             0.00066452
                     10,                 2.6651,                 1.8918,                 2.1622,                0.76391,                0.05269,                0.06335,                 0.0245,                 2.7552,                 2.5606,                 2.3376,             0.00065745,             0.00065745,             0.00065745
                     11,                 2.5236,                 1.7319,                 2.0516,                0.68111,                0.04057,                0.06168,                0.02444,                 2.7651,                 2.5809,                   2.38,             0.00065038,             0.00065038,             0.00065038
                     12,                 2.4543,                 1.6623,                 1.9873,                0.55351,                 0.0709,                0.07975,                0.02816,                 2.6134,                 2.3271,                 2.2997,             0.00064331,             0.00064331,             0.00064331
                     13,                  2.367,                 1.5518,                 1.9033,                0.42097,                0.06777,                0.07506,                0.03059,                  2.581,                 2.2868,                 2.2392,             0.00063625,             0.00063625,             0.00063625
                     14,                  2.317,                  1.518,                 1.8513,                0.31564,                0.07566,                0.08228,                0.03016,                 2.6322,                 2.2728,                 2.2377,             0.00062918,             0.00062918,             0.00062918
                     15,                 2.2283,                 1.4651,                 1.8108,                0.59957,                0.06387,                0.06746,                0.03142,                 2.5345,                 2.2868,                 2.1875,             0.00062211,             0.00062211,             0.00062211
                     16,                 2.2555,                 1.4425,                 1.8294,                0.60716,                0.05494,                0.06919,                0.03118,                 2.5013,                 2.3157,                 2.1654,             0.00061504,             0.00061504,             0.00061504
                     17,                 2.1798,                  1.393,                 1.7591,                0.60757,                0.08047,                0.08238,                0.03313,                 2.5121,                 2.2373,                 2.1479,             0.00060797,             0.00060797,             0.00060797
                     18,                 2.1157,                 1.3494,                 1.7383,                0.38908,                0.05369,                0.06117,                0.02803,                  2.709,                 2.6403,                 2.2923,              0.0006009,              0.0006009,              0.0006009
                     19,                 2.1487,                 1.3234,                 1.7511,                0.41528,                0.09691,                0.09124,                0.03909,                 2.3762,                 2.1121,                 2.1111,             0.00059383,             0.00059383,             0.00059383
                     20,                 2.1195,                 1.2939,                 1.7165,                0.35026,                0.11222,                0.10775,                 0.0454,                 2.2845,                 2.1485,                 2.0075,             0.00058677,             0.00058677,             0.00058677
                     21,                 2.0612,                 1.2592,                 1.6693,                0.43864,                0.11945,                0.11455,                0.04917,                 2.2595,                 1.9692,                 2.0078,              0.0005797,              0.0005797,              0.0005797
                     22,                 2.0206,                 1.2469,                 1.6581,                0.44413,                0.12208,                0.11685,                0.04892,                 2.2104,                 1.9321,                  1.989,             0.00057263,             0.00057263,             0.00057263
                     23,                 2.0113,                 1.2351,                 1.6261,                0.61175,                 0.0752,                0.08581,                  0.039,                  2.312,                 1.9726,                  2.038,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.9892,                 1.1774,                 1.6002,                0.48477,                0.11228,                0.10013,                 0.0443,                 2.1884,                 1.9128,                 1.9796,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.9861,                 1.1911,                 1.6077,                0.48801,                0.09517,                0.08617,                0.04015,                 2.2362,                 1.9173,                 2.0318,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.9783,                 1.1836,                 1.6164,                0.52732,                0.12738,                0.11725,                0.04691,                 2.2412,                 1.8046,                 1.9904,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.9554,                 1.1534,                 1.5576,                0.51408,                0.11586,                0.10309,                0.04491,                 2.2426,                 1.8354,                 1.9932,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.9472,                 1.1421,                  1.556,                0.53926,                0.12627,                0.11554,                0.04942,                 2.1497,                 1.7693,                  1.928,             0.00053022,             0.00053022,             0.00053022
                     29,                 1.9376,                  1.145,                 1.5537,                0.44351,                0.15589,                0.13402,                0.05635,                 2.2196,                 1.7801,                  1.972,             0.00052315,             0.00052315,             0.00052315
                     30,                 1.9534,                  1.141,                 1.5435,                 0.5342,                0.12783,                0.11107,                0.04807,                 2.1854,                 1.7369,                 1.9515,             0.00051608,             0.00051608,             0.00051608
                     31,                 1.9597,                 1.1458,                 1.5475,                0.55485,                0.13109,                0.12594,                0.04974,                 2.2015,                 1.7227,                 1.9373,             0.00050901,             0.00050901,             0.00050901
                     32,                 1.8853,                 1.0721,                 1.5081,                0.54322,                0.16457,                0.12441,                0.05337,                 2.1058,                 1.6625,                  1.906,             0.00050194,             0.00050194,             0.00050194
                     33,                 1.9234,                 1.0888,                 1.5076,                0.55716,                0.18427,                0.14401,                0.05675,                 2.1431,                 1.6201,                 1.9241,             0.00049487,             0.00049487,             0.00049487
                     34,                 1.8766,                 1.0768,                 1.4887,                 0.4797,                0.18183,                0.13872,                0.05409,                 2.1735,                 1.7165,                 1.9177,              0.0004878,              0.0004878,              0.0004878
                     35,                 1.9028,                 1.0746,                 1.4869,                0.55443,                0.16861,                0.13656,                0.05639,                 2.1174,                 1.6144,                 1.9045,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.8825,                 1.0797,                 1.5114,                0.45888,                 0.1525,                0.13069,                 0.0546,                 2.1499,                 1.7554,                 1.9208,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.8767,                 1.0419,                  1.486,                0.52506,                0.17272,                0.14575,                 0.0572,                 2.1794,                 1.6222,                 1.9488,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.8722,                 1.0657,                 1.4705,                 0.4253,                0.15572,                0.12978,                 0.0504,                 2.1493,                 1.6717,                 1.9101,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.8578,                 1.0654,                 1.4831,                0.52935,                0.19513,                0.15009,                0.06097,                  2.127,                 1.7303,                 1.8916,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.8039,                 1.0275,                 1.4399,                 0.4969,                   0.17,                 0.1547,                0.05886,                 2.1112,                 1.5881,                 1.9063,             0.00044539,             0.00044539,             0.00044539
                     41,                 1.8215,                 1.0245,                 1.4587,                0.48975,                0.18438,                0.15242,                0.05911,                 2.1321,                 1.5721,                 1.8929,             0.00043832,             0.00043832,             0.00043832
                     42,                 1.8661,                 1.0211,                 1.4665,                0.51325,                0.17799,                0.16227,                0.06448,                 2.0832,                  1.614,                 1.8667,             0.00043126,             0.00043126,             0.00043126
                     43,                 1.8331,                 1.0097,                 1.4447,                0.55763,                0.17906,                0.15618,                0.06319,                 2.1374,                 1.5803,                  1.886,             0.00042419,             0.00042419,             0.00042419
                     44,                 1.8214,                  1.026,                 1.4687,                0.55954,                0.16517,                0.15576,                0.06214,                 2.1445,                 1.4832,                 1.9167,             0.00041712,             0.00041712,             0.00041712
                     45,                 1.8212,                 1.0022,                 1.4385,                0.53299,                0.19171,                0.17307,                 0.0646,                 2.1926,                  1.579,                 1.9268,             0.00041005,             0.00041005,             0.00041005
                     46,                 1.8118,                 1.0046,                 1.4425,                0.54241,                0.18511,                0.17735,                0.06844,                 2.0918,                 1.5234,                  1.864,             0.00040298,             0.00040298,             0.00040298
                     47,                 1.8073,                0.98894,                 1.4444,                0.54463,                0.17073,                0.16418,                0.06709,                 2.0994,                 1.5041,                 1.8689,             0.00039591,             0.00039591,             0.00039591
                     48,                 1.7617,                0.96135,                 1.4082,                0.54401,                0.20263,                0.18028,                0.07063,                 2.0904,                 1.5191,                 1.8784,             0.00038884,             0.00038884,             0.00038884
                     49,                 1.7807,                0.98127,                 1.4162,                0.56719,                0.19304,                0.17571,                0.06908,                 2.0812,                 1.4775,                 1.8937,             0.00038178,             0.00038178,             0.00038178
                     50,                 1.7608,                0.98575,                   1.41,                0.50588,                0.19465,                 0.1813,                0.07169,                  2.102,                 1.4599,                  1.866,             0.00037471,             0.00037471,             0.00037471
                     51,                 1.8082,                 1.0217,                 1.4448,                0.52005,                0.18071,                0.19814,                 0.0775,                  2.048,                 1.4254,                 1.8632,             0.00036764,             0.00036764,             0.00036764
                     52,                 1.7505,                0.96677,                 1.4025,                0.39564,                0.21269,                0.18607,                0.07088,                 2.0976,                 1.4791,                 1.8758,             0.00036057,             0.00036057,             0.00036057
                     53,                 1.7553,                0.94396,                 1.4004,                0.50735,                0.19818,                0.19953,                0.07814,                 2.0836,                 1.4511,                 1.8639,              0.0003535,              0.0003535,              0.0003535
                     54,                 1.7328,                0.92871,                 1.3949,                0.44739,                0.22766,                0.21145,                0.08459,                 2.0734,                 1.4007,                 1.8572,             0.00034643,             0.00034643,             0.00034643
                     55,                 1.7586,                0.92981,                 1.3925,                0.46212,                0.22736,                0.19389,                0.07759,                 2.0751,                 1.3895,                 1.8723,             0.00033936,             0.00033936,             0.00033936
                     56,                 1.7399,                0.92862,                 1.3648,                0.58204,                0.22142,                0.20726,                0.07802,                 2.1111,                  1.459,                 1.8622,              0.0003323,              0.0003323,              0.0003323
                     57,                 1.7571,                0.97289,                 1.4111,                0.56413,                0.18554,                 0.1919,                0.07853,                 2.0674,                 1.4523,                 1.8496,             0.00032523,             0.00032523,             0.00032523
                     58,                 1.7232,                0.94678,                 1.3863,                 0.5446,                0.23065,                0.20057,                0.07636,                 2.1029,                 1.4249,                 1.8456,             0.00031816,             0.00031816,             0.00031816
                     59,                 1.7271,                0.92559,                  1.378,                 0.5991,                0.21231,                0.20045,                0.07993,                 2.0446,                 1.3998,                 1.8504,             0.00031109,             0.00031109,             0.00031109
                     60,                 1.7024,                0.91129,                 1.3773,                0.60266,                0.20299,                0.20455,                0.08077,                 2.0647,                 1.3972,                 1.8457,             0.00030402,             0.00030402,             0.00030402
                     61,                 1.7189,                0.93426,                 1.3994,                0.56956,                0.20119,                0.18682,                0.07396,                 2.0418,                 1.3993,                 1.8502,             0.00029695,             0.00029695,             0.00029695
                     62,                 1.7074,                0.91744,                 1.3774,                0.57616,                0.22553,                 0.2197,                0.08408,                 2.0825,                 1.3624,                 1.8565,             0.00028988,             0.00028988,             0.00028988
                     63,                 1.6818,                0.89816,                 1.3421,                0.60833,                0.23114,                0.22102,                0.08712,                 2.0167,                  1.346,                 1.8317,             0.00028282,             0.00028282,             0.00028282
                     64,                 1.7087,                0.90241,                 1.3743,                0.60575,                0.22213,                0.21881,                0.08721,                 2.0543,                 1.3358,                 1.8603,             0.00027575,             0.00027575,             0.00027575
                     65,                 1.6929,                0.89627,                  1.342,                0.43957,                0.24779,                0.21257,                0.08537,                 2.0183,                 1.3414,                 1.8364,             0.00026868,             0.00026868,             0.00026868
                     66,                 1.6856,                 0.8879,                 1.3483,                0.57598,                0.22461,                0.21397,                0.08124,                 2.0843,                 1.3725,                 1.8561,             0.00026161,             0.00026161,             0.00026161
                     67,                 1.6823,                0.90971,                 1.3375,                0.59886,                0.21945,                0.20923,                0.08474,                 2.0215,                 1.3385,                 1.8471,             0.00025454,             0.00025454,             0.00025454
                     68,                 1.6884,                 0.8877,                 1.3544,                0.48024,                0.23189,                0.20051,                0.08015,                 2.0869,                 1.3286,                 1.8784,             0.00024747,             0.00024747,             0.00024747
                     69,                 1.7112,                0.91462,                 1.3698,                 0.4845,                0.25066,                0.20729,                0.08459,                 2.0186,                 1.3473,                 1.8318,              0.0002404,              0.0002404,              0.0002404
                     70,                 1.6822,                  0.906,                 1.3626,                0.59572,                0.22077,                0.23189,                0.09072,                 2.0058,                 1.3192,                 1.8268,             0.00023334,             0.00023334,             0.00023334
                     71,                 1.6745,                0.87784,                 1.3403,                0.59293,                0.22269,                0.22277,                0.09138,                 2.0013,                 1.3213,                 1.8203,             0.00022627,             0.00022627,             0.00022627
                     72,                  1.666,                0.88542,                 1.3399,                0.44468,                0.26729,                0.22722,                0.09369,                 2.0101,                 1.3008,                 1.8414,              0.0002192,              0.0002192,              0.0002192
