                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1309,                  4.789,                 4.0998,                  6e-05,                0.02795,                0.00013,                  2e-05,                 5.3024,                 6.4169,                 4.1672,             0.00018564,             0.00018564,             0.00018564
                      2,                 4.4098,                 3.0318,                 3.5605,                  3e-05,                0.02788,                  2e-05,                      0,                 5.3487,                 6.7189,                 4.2455,             0.00037467,             0.00037467,             0.00037467
                      3,                 4.1028,                 2.6307,                 3.1519,                  7e-05,                0.01477,                  4e-05,                  1e-05,                 5.4083,                 7.1853,                 4.3629,             0.00055989,             0.00055989,             0.00055989
                      4,                  3.621,                 2.3334,                 2.8384,                0.00485,                0.04042,                0.01619,                0.00477,                 4.0532,                 5.0979,                 3.5369,             0.00069279,             0.00069279,             0.00069279
                      5,                 3.3276,                 2.2195,                 2.6351,                0.93269,                0.03171,                0.02221,                0.00566,                 3.5517,                 3.7915,                 3.0173,             0.00069279,             0.00069279,             0.00069279
                      6,                 3.1609,                 2.1236,                 2.5143,                0.95451,                  0.035,                0.03432,                0.01175,                 3.1801,                 3.1372,                 2.6564,             0.00068573,             0.00068573,             0.00068573
                      7,                 3.0342,                  2.054,                 2.3853,                0.96424,                0.03472,                0.04227,                0.01578,                 3.2992,                 3.1536,                  2.736,             0.00067866,             0.00067866,             0.00067866
                      8,                 2.9451,                  1.978,                 2.3196,                0.71337,                0.07026,                0.05279,                 0.0192,                 2.8794,                 2.6311,                 2.4275,             0.00067159,             0.00067159,             0.00067159
                      9,                 2.8186,                 1.8611,                 2.2015,                0.89907,                 0.0415,                0.05696,                0.02142,                 2.7844,                 2.5388,                 2.3687,             0.00066452,             0.00066452,             0.00066452
                     10,                 2.6775,                 1.8127,                 2.1589,                0.75204,                0.08154,                0.07248,                0.02759,                 2.6633,                 2.4267,                 2.2898,             0.00065745,             0.00065745,             0.00065745
                     11,                   2.59,                 1.7293,                 2.0892,                 0.4878,                0.05655,                0.05676,                0.02584,                 2.6866,                 2.5745,                 2.2821,             0.00065038,             0.00065038,             0.00065038
                     12,                 2.5244,                 1.6567,                 2.0206,                0.71634,                0.06496,                0.07183,                0.02938,                 2.6045,                 2.2748,                 2.2771,             0.00064331,             0.00064331,             0.00064331
