                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1988,                 5.4033,                 4.2316,                  4e-05,                0.01367,                  9e-05,                  1e-05,                 5.2571,                 6.3823,                 4.1605,                 0.0026,                 0.0026,                 0.0026
                      2,                 5.0699,                  4.694,                 4.1095,                  1e-05,                 0.0011,                  1e-05,                      0,                 5.2505,                 6.3209,                   4.14,              0.0052475,              0.0052475,              0.0052475
                      3,                 4.5498,                 3.4996,                 3.6238,                  3e-05,                0.01648,                  5e-05,                  1e-05,                 5.2741,                 6.5074,                 4.1743,              0.0078416,              0.0078416,              0.0078416
                      4,                 3.7968,                 3.0633,                   3.06,                0.00829,                0.02346,                0.00563,                0.00198,                 4.6364,                 6.2263,                 3.8425,               0.009703,               0.009703,               0.009703
                      5,                 3.4531,                 3.2334,                 2.8036,                0.91532,                0.01717,                0.00906,                0.00237,                 3.5316,                 12.473,                 3.1693,               0.009703,               0.009703,               0.009703
                      6,                  3.236,                 2.6338,                 2.6753,                0.92409,                0.02436,                0.01569,                0.00385,                 3.4743,                 4.0099,                 2.9672,               0.009604,               0.009604,               0.009604
                      7,                 2.9851,                 2.5055,                 2.4551,                0.84043,                0.03531,                0.02885,                0.00962,                 3.1935,                 4.8145,                 3.1964,               0.009505,               0.009505,               0.009505
                      8,                 2.8895,                 2.3125,                 2.3508,                0.86403,                0.03897,                0.04045,                0.01571,                 2.9054,                 3.1056,                 2.5182,               0.009406,               0.009406,               0.009406
                      9,                 2.6398,                  2.095,                 2.1602,                0.93277,                0.03178,                0.03181,                0.00909,                 2.9491,                 3.6077,                 2.5813,               0.009307,               0.009307,               0.009307
                     10,                 2.4232,                 1.9554,                 2.0541,                0.75065,                0.08921,                0.06988,                0.02803,                 2.5997,                 2.9287,                 2.3298,               0.009208,               0.009208,               0.009208
                     11,                 2.4121,                 1.7941,                 2.0069,                0.82985,                0.09363,                 0.0872,                0.03586,                 2.5402,                  2.958,                 2.2493,               0.009109,               0.009109,               0.009109
                     12,                 2.3193,                 1.7146,                 1.9129,                0.75879,                0.08772,                0.06863,                0.02746,                 2.4961,                 2.7868,                 2.2521,                0.00901,                0.00901,                0.00901
                     13,                 2.1649,                 1.5558,                 1.7621,                0.78462,                0.09909,                0.08939,                0.04414,                 2.3081,                 2.5936,                 2.0907,               0.008911,               0.008911,               0.008911
                     14,                 2.1599,                 1.5082,                 1.7312,                0.83704,                0.10244,                0.08997,                 0.0368,                 2.3675,                 2.4586,                 2.1142,               0.008812,               0.008812,               0.008812
                     15,                 2.1072,                 1.4874,                 1.7056,                0.79183,                0.07301,                 0.0886,                0.03775,                 2.3242,                 2.7634,                  2.031,               0.008713,               0.008713,               0.008713
                     16,                 2.1062,                 1.4372,                 1.7059,                 0.6176,                0.16416,                0.12898,                0.05135,                 2.3006,                 2.6909,                 2.0103,               0.008614,               0.008614,               0.008614
                     17,                 2.0804,                 1.4044,                 1.6427,                0.79323,                0.09662,                0.10007,                0.04209,                 2.2783,                 2.1768,                 2.0157,               0.008515,               0.008515,               0.008515
                     18,                 2.0274,                 1.3647,                   1.63,                 0.9212,                0.10577,                0.12342,                0.04435,                 2.3447,                 2.2662,                 2.0462,               0.008416,               0.008416,               0.008416
                     19,                 2.0473,                 1.3189,                 1.6267,                0.73867,                   0.13,                0.11322,                0.04462,                 2.2866,                  2.108,                 2.0373,               0.008317,               0.008317,               0.008317
                     20,                 1.9902,                 1.2514,                 1.5788,                 0.7593,                0.16284,                0.13896,                0.05466,                 2.1868,                 1.9618,                 1.9518,               0.008218,               0.008218,               0.008218
                     21,                 1.9867,                 1.2652,                 1.5546,                0.80078,                0.13283,                0.15077,                0.05992,                 2.2022,                  1.901,                  1.939,               0.008119,               0.008119,               0.008119
                     22,                 1.9208,                 1.2314,                 1.5338,                0.85539,                0.18121,                0.14988,                0.05826,                 2.1491,                 1.9256,                 1.9073,                0.00802,                0.00802,                0.00802
                     23,                 1.9016,                  1.233,                 1.5071,                0.42052,                0.10799,                0.11101,                0.04607,                 2.1419,                 1.9631,                 1.9527,               0.007921,               0.007921,               0.007921
                     24,                 1.8831,                 1.1681,                 1.4868,                0.62165,                0.18968,                0.14663,                0.05721,                 2.1632,                 1.8298,                 1.8976,               0.007822,               0.007822,               0.007822
                     25,                 1.8753,                 1.1885,                 1.4966,                0.45077,                0.17775,                0.13775,                0.05682,                 2.0836,                 1.8966,                 1.8803,               0.007723,               0.007723,               0.007723
                     26,                  1.854,                 1.1641,                 1.5027,                0.55013,                0.17906,                0.16147,                0.06597,                 2.1619,                 1.7996,                 1.9104,               0.007624,               0.007624,               0.007624
                     27,                 1.8547,                  1.138,                 1.4588,                0.52864,                0.18842,                 0.1707,                0.06603,                   2.18,                 1.7918,                  1.918,               0.007525,               0.007525,               0.007525
                     28,                  1.802,                 1.0805,                 1.4331,                  0.457,                0.13248,                0.13199,                0.05265,                 2.1223,                 1.8839,                 1.9024,               0.007426,               0.007426,               0.007426
                     29,                 1.8178,                 1.1057,                 1.4501,                0.30972,                0.18101,                0.12604,                0.05468,                 2.1103,                 2.2044,                 1.8663,               0.007327,               0.007327,               0.007327
                     30,                 1.7903,                 1.0719,                 1.4238,                0.37501,                0.19501,                0.16823,                0.06897,                 2.0203,                 1.7327,                 1.8129,               0.007228,               0.007228,               0.007228
                     31,                 1.7874,                 1.0832,                 1.4324,                0.37915,                0.17674,                0.17511,                 0.0746,                  2.072,                 1.7986,                 1.8315,               0.007129,               0.007129,               0.007129
                     32,                 1.7451,                 1.0418,                 1.3995,                0.38976,                0.16645,                0.16626,                0.06818,                 2.0251,                 1.6147,                 1.8277,                0.00703,                0.00703,                0.00703
                     33,                  1.758,                 1.0309,                 1.3968,                 0.3935,                0.16799,                0.16929,                0.06785,                 2.0341,                 1.5681,                 1.8526,               0.006931,               0.006931,               0.006931
                     34,                 1.7691,                 1.0443,                 1.4028,                0.56697,                0.22897,                0.19008,                0.07738,                 2.0404,                 1.5979,                 1.8128,               0.006832,               0.006832,               0.006832
                     35,                 1.7761,                 1.0231,                 1.3967,                0.53939,                0.14908,                0.18202,                0.07077,                 2.1008,                 1.6228,                 1.8391,               0.006733,               0.006733,               0.006733
                     36,                 1.7473,                 1.0177,                 1.4184,                0.49354,                0.19678,                0.19661,                0.08506,                 2.0084,                 1.5757,                 1.7825,               0.006634,               0.006634,               0.006634
                     37,                 1.7347,                0.98805,                 1.3882,                0.58201,                0.19432,                0.17759,                0.07244,                 2.0149,                 1.5827,                  1.822,               0.006535,               0.006535,               0.006535
                     38,                 1.7078,                 1.0057,                 1.3668,                0.50595,                0.17729,                0.18565,                0.08047,                 1.9855,                 1.5614,                 1.8038,               0.006436,               0.006436,               0.006436
                     39,                 1.7163,                 0.9859,                 1.3919,                0.54852,                0.21002,                0.18982,                0.07701,                 2.1317,                 1.6116,                 1.8588,               0.006337,               0.006337,               0.006337
                     40,                 1.6771,                0.96932,                 1.3575,                0.53923,                0.17229,                0.20494,                0.08808,                 1.9492,                 1.4661,                 1.7667,               0.006238,               0.006238,               0.006238
                     41,                 1.6938,                0.96661,                 1.3765,                0.50251,                0.18753,                0.18894,                0.08553,                 1.9804,                  1.608,                 1.7866,               0.006139,               0.006139,               0.006139
                     42,                 1.7039,                0.94954,                 1.3649,                0.64086,                0.15949,                0.19498,                0.08505,                 2.0367,                 1.6986,                 1.7987,                0.00604,                0.00604,                0.00604
                     43,                 1.7041,                0.95091,                 1.3621,                  0.551,                0.19683,                0.19257,                0.08316,                  1.951,                 1.5231,                 1.7624,               0.005941,               0.005941,               0.005941
                     44,                 1.6987,                0.97294,                 1.3911,                0.34105,                0.15984,                0.12158,                0.05358,                 2.0924,                  1.745,                 1.8785,               0.005842,               0.005842,               0.005842
                     45,                 1.6664,                0.95259,                 1.3454,                0.65632,                0.23175,                0.19977,                0.09021,                 1.9234,                 1.4563,                 1.7472,               0.005743,               0.005743,               0.005743
                     46,                 1.6561,                0.92821,                 1.3493,                0.55922,                0.18269,                0.20206,                0.09111,                  1.908,                 1.4658,                 1.7392,               0.005644,               0.005644,               0.005644
                     47,                 1.6646,                0.92089,                  1.358,                0.63236,                0.19889,                0.18016,                0.07933,                 1.9745,                  1.502,                 1.7818,               0.005545,               0.005545,               0.005545
                     48,                  1.637,                0.91337,                  1.331,                0.59426,                0.20879,                0.20906,                0.08496,                 2.0074,                 1.5702,                 1.8104,               0.005446,               0.005446,               0.005446
