                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 62.157,                  4.873,                 4.2982,                  4e-05,                0.01477,                  9e-05,                  1e-05,                 53.225,                 6.1176,                 4.1624,                 0.0026,                 0.0026,                 0.0026
                      2,                 26.948,                 3.1967,                 3.8586,                  4e-05,                0.00227,                  2e-05,                      0,                 59.979,                 6.3943,                 4.2039,              0.0052475,              0.0052475,              0.0052475
                      3,                  20.34,                 2.7099,                 3.1299,                  3e-05,                0.00117,                  2e-05,                      0,                 74.089,                 6.9306,                 4.2212,              0.0078416,              0.0078416,              0.0078416
                      4,                 17.187,                 2.5339,                 2.7139,                0.00264,                0.02633,                0.00333,                0.00063,                 35.865,                 5.1838,                 3.5714,               0.009703,               0.009703,               0.009703
                      5,                 14.289,                 2.6266,                 2.4616,                 0.9286,                0.02925,                 0.0168,                0.00492,                 15.059,                 3.7201,                 2.7988,               0.009703,               0.009703,               0.009703
                      6,                 11.155,                 2.3566,                 2.2647,                0.95043,                0.03264,                0.03731,                0.01361,                 11.802,                 3.5075,                 2.5606,               0.009604,               0.009604,               0.009604
                      7,                 9.9841,                 2.1311,                 2.0508,                0.96181,                0.03516,                0.04452,                0.01652,                 9.9602,                 3.5224,                 2.3987,               0.009505,               0.009505,               0.009505
                      8,                 8.8613,                 2.0276,                  1.958,                0.86982,                0.04862,                0.04584,                0.01911,                 11.013,                 3.1084,                 2.4985,               0.009406,               0.009406,               0.009406
                      9,                   8.38,                 1.8304,                 1.8435,                0.78101,                0.05051,                 0.0467,                0.01881,                 11.271,                  3.524,                 2.5128,               0.009307,               0.009307,               0.009307
                     10,                 7.6536,                 1.7813,                 1.8079,                  0.877,                0.04465,                0.08675,                0.03469,                  7.596,                 3.0252,                 2.1741,               0.009208,               0.009208,               0.009208
                     11,                 6.9327,                 1.7275,                   1.73,                0.85999,                 0.0987,                0.11033,                0.03641,                 7.2474,                 2.7509,                 2.1351,               0.009109,               0.009109,               0.009109
                     12,                  6.636,                 1.6249,                 1.6948,                0.69185,                0.06422,                0.07286,                0.03073,                 7.5461,                 2.8045,                 2.1469,                0.00901,                0.00901,                0.00901
                     13,                 6.1066,                 1.5435,                  1.627,                0.80566,                0.08632,                0.07571,                0.02844,                 7.6693,                 2.5636,                 2.1356,               0.008911,               0.008911,               0.008911
                     14,                  5.859,                 1.5404,                 1.6055,                0.78366,                0.05781,                0.06854,                0.02739,                 9.0847,                 2.7096,                 2.2496,               0.008812,               0.008812,               0.008812
                     15,                 5.1906,                 1.5135,                 1.5968,                0.74878,                0.16004,                 0.1197,                0.04843,                 6.6731,                  2.399,                 2.0326,               0.008713,               0.008713,               0.008713
