epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.687,5.13451,5.37929,4.1619,3e-05,0.01257,7e-05,1e-05,5.29945,6.41428,4.16499,0.00018564,0.00018564,0.00018564
2,349.758,4.35906,4.86376,3.71858,2e-05,0.01257,7e-05,2e-05,5.34489,6.60532,4.22132,0.000374674,0.000374674,0.000374674
3,520.272,3.70712,3.45209,3.11399,5e-05,0.01257,0.0001,2e-05,5.46948,7.60278,4.44229,0.00055989,0.00055989,0.00055989
4,689.849,3.28616,2.82887,2.77673,0.00022,0.01384,0.0003,8e-05,4.73459,7.56892,3.94258,0.000692794,0.000692794,0.000692794
5,859.572,3.07946,2.4948,2.57297,0.91142,0.02398,0.00772,0.00249,3.59792,6.01099,3.31703,0.000685726,0.000685726,0.000685726
6,1031.08,2.91262,2.23114,2.42325,0.92538,0.02285,0.01665,0.00434,3.50118,5.11656,3.1168,0.000678657,0.000678657,0.000678657
7,1201.08,2.75435,2.08975,2.32309,0.8643,0.03674,0.04271,0.01757,2.91627,3.31162,2.66969,0.000671588,0.000671588,0.000671588
8,1371.29,2.64916,2.00353,2.21063,0.86236,0.03894,0.04474,0.01735,2.69122,2.90091,2.53036,0.00066452,0.00066452,0.00066452
9,1544.79,2.53324,1.85331,2.08862,0.8719,0.05327,0.05076,0.02191,2.89693,3.19053,2.52517,0.000657451,0.000657451,0.000657451
10,1714.25,2.40927,1.71686,2.00577,0.88142,0.05346,0.05554,0.02446,2.65928,2.82959,2.36734,0.000650383,0.000650383,0.000650383
11,1887.71,2.33435,1.65267,1.93096,0.89346,0.0523,0.0606,0.02417,2.53554,2.57203,2.35174,0.000643314,0.000643314,0.000643314
12,2126.07,2.25694,1.6372,1.87715,0.97649,0.04496,0.06364,0.02823,2.71996,2.92418,2.37997,0.000636245,0.000636245,0.000636245
13,2367.6,2.2101,1.57266,1.82729,0.798,0.05908,0.06608,0.03067,2.54795,2.67317,2.28264,0.000629177,0.000629177,0.000629177
14,2612.04,2.20017,1.49463,1.78571,0.88664,0.05965,0.06952,0.03132,2.47223,2.49709,2.20035,0.000622108,0.000622108,0.000622108
15,2856.52,2.19882,1.54183,1.79146,0.69515,0.10086,0.0916,0.03849,2.41939,2.32833,2.18029,0.00061504,0.00061504,0.00061504
16,3095.09,2.14367,1.45293,1.73102,0.63672,0.11656,0.11725,0.0485,2.33649,2.19928,2.1454,0.000607971,0.000607971,0.000607971
17,3333.61,2.14361,1.47487,1.74273,0.65473,0.11796,0.12139,0.05047,2.30039,2.14837,2.1093,0.000600902,0.000600902,0.000600902
18,3572.31,2.06306,1.42108,1.68053,0.64075,0.10006,0.10286,0.04534,2.30703,2.26356,2.07829,0.000593834,0.000593834,0.000593834
19,3814.16,2.093,1.46261,1.69801,0.6839,0.10363,0.12612,0.052,2.36432,2.14573,2.09182,0.000586765,0.000586765,0.000586765
20,4055.72,2.05568,1.34661,1.63534,0.6359,0.09444,0.10557,0.04506,2.30163,2.23504,2.07113,0.000579697,0.000579697,0.000579697
21,4292.24,2.01767,1.3204,1.6085,0.64273,0.09894,0.10598,0.0473,2.24355,2.11019,2.04232,0.000572628,0.000572628,0.000572628
22,4532,2.0027,1.315,1.59241,0.52788,0.08785,0.09784,0.0437,2.28602,2.21053,2.04503,0.000565559,0.000565559,0.000565559
23,4773.87,1.97244,1.3141,1.59092,0.54365,0.11167,0.1211,0.04936,2.26483,2.0102,2.03841,0.000558491,0.000558491,0.000558491
24,5015.24,2.00915,1.32616,1.57874,0.52164,0.11463,0.10653,0.04593,2.22109,2.07155,1.97198,0.000551422,0.000551422,0.000551422
25,5252.48,1.95836,1.25858,1.55201,0.56314,0.1253,0.13766,0.05936,2.14172,1.93836,1.93383,0.000544354,0.000544354,0.000544354
26,5490.06,1.90319,1.2505,1.54026,0.55854,0.12906,0.13951,0.06067,2.15283,1.93697,1.96271,0.000537285,0.000537285,0.000537285
