                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0373,                 4.8045,                 4.1044,                  7e-05,                0.02795,                0.00011,                  1e-05,                 5.3024,                 6.4216,                 4.1686,             0.00018564,             0.00018564,             0.00018564
                      2,                 3.9686,                 2.8942,                 3.5969,                  3e-05,                0.02788,                  2e-05,                      0,                 5.3528,                 6.7786,                 4.2394,             0.00037467,             0.00037467,             0.00037467
                      3,                 3.4539,                 2.5235,                 3.1624,                  3e-05,                 0.0136,                  2e-05,                  1e-05,                 5.3707,                 6.8693,                 4.2639,             0.00055989,             0.00055989,             0.00055989
                      4,                 3.2037,                 2.3669,                 2.7909,                0.91697,                 0.0325,                0.01343,                0.00414,                 3.7855,                 4.9261,                 3.4011,             0.00069279,             0.00069279,             0.00069279
                      5,                  3.077,                 2.3839,                 2.6049,                0.91964,                0.04164,                 0.0156,                0.00459,                 3.5148,                 3.9074,                 3.0836,             0.00069279,             0.00069279,             0.00069279
                      6,                 2.8816,                 2.2209,                 2.4879,                0.94027,                0.03558,                0.03535,                0.01378,                  2.833,                 3.0574,                 2.6623,             0.00068573,             0.00068573,             0.00068573
                      7,                 2.8095,                 2.1069,                 2.3388,                 0.8621,                 0.0504,                0.04583,                0.01848,                 2.8567,                 3.4074,                 2.6063,             0.00067866,             0.00067866,             0.00067866
                      8,                  2.664,                 1.9836,                 2.2511,                 0.8745,                0.04218,                0.04595,                0.01651,                 2.7921,                 2.8314,                 2.4839,             0.00067159,             0.00067159,             0.00067159
                      9,                 2.6229,                 1.8578,                 2.1388,                0.74899,                0.07008,                0.05035,                0.01964,                 2.7622,                 2.6586,                 2.4404,             0.00066452,             0.00066452,             0.00066452
                     10,                 2.5409,                 1.8329,                 2.1073,                0.55834,                0.08476,                0.06957,                0.02883,                 2.5596,                 2.4861,                 2.3262,             0.00065745,             0.00065745,             0.00065745
                     11,                 2.4373,                 1.7254,                 2.0175,                0.48163,                0.05295,                0.06642,                0.02602,                 2.6682,                 2.5427,                 2.3442,             0.00065038,             0.00065038,             0.00065038
                     12,                 2.4102,                 1.6649,                 1.9454,                0.69021,                0.06869,                0.07246,                0.03066,                 2.4368,                 2.3232,                 2.2612,             0.00064331,             0.00064331,             0.00064331
                     13,                 2.3251,                  1.548,                 1.8533,                0.39778,                0.08083,                0.07844,                0.03287,                 2.4324,                 2.3037,                  2.177,             0.00063625,             0.00063625,             0.00063625
                     14,                 2.3185,                   1.54,                 1.8258,                0.57288,                0.05623,                0.06998,                0.03306,                 2.5514,                 2.4219,                 2.2345,             0.00062918,             0.00062918,             0.00062918
                     15,                 2.2459,                 1.5123,                 1.7936,                0.69072,                0.10811,                0.09228,                0.03725,                 2.3807,                 2.2112,                 2.1441,             0.00062211,             0.00062211,             0.00062211
                     16,                 2.2628,                 1.4935,                  1.802,                0.52313,                0.05706,                0.07367,                0.03295,                 2.7679,                 2.8068,                 2.3392,             0.00061504,             0.00061504,             0.00061504
                     17,                 2.2084,                 1.4527,                 1.7505,                0.30411,                0.07935,                0.09308,                0.04133,                 2.3685,                 2.1329,                 2.1478,             0.00060797,             0.00060797,             0.00060797
                     18,                 2.1472,                 1.4166,                 1.7268,                 0.5323,                0.08335,                0.09734,                0.04226,                 2.3291,                 2.0723,                 2.0892,              0.0006009,              0.0006009,              0.0006009
                     19,                 2.1305,                 1.3844,                 1.7193,                0.51873,                0.09985,                0.10714,                0.04376,                 2.3397,                 2.0319,                  2.114,             0.00059383,             0.00059383,             0.00059383
                     20,                 2.0905,                 1.3367,                 1.6742,                0.48976,                0.08913,                0.09514,                0.03954,                 2.4161,                 2.0824,                 2.1356,             0.00058677,             0.00058677,             0.00058677
                     21,                 2.0568,                 1.3182,                 1.6316,                0.28149,                0.16867,                0.14284,                0.05077,                  2.346,                 2.2449,                 2.0339,              0.0005797,              0.0005797,              0.0005797
                     22,                  2.053,                 1.3165,                  1.635,                0.31949,                 0.1318,                0.10709,                0.04496,                 2.3037,                 2.0411,                 2.0393,             0.00057263,             0.00057263,             0.00057263
                     23,                 2.0319,                 1.3195,                 1.6113,                0.35064,                0.16189,                0.12102,                0.04926,                 2.3205,                 1.9637,                 2.0562,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.9753,                 1.2511,                 1.5682,                0.41519,                0.13469,                 0.1126,                0.04821,                 2.2707,                 2.0179,                  2.048,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.9932,                 1.2626,                  1.586,                0.34694,                0.17838,                0.12583,                0.05527,                 2.3316,                 1.9536,                 2.0242,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.9551,                 1.2526,                 1.5731,                0.29653,                0.18013,                0.15486,                0.06016,                 2.2342,                 1.8934,                 1.9665,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.9548,                 1.2173,                 1.5353,                0.28051,                0.17221,                0.15155,                0.05886,                 2.2506,                 1.8559,                  1.988,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.9262,                 1.1981,                 1.5263,                 0.3987,                0.14796,                0.15543,                0.06424,                 2.1505,                  1.757,                 1.9316,             0.00053022,             0.00053022,             0.00053022
                     29,                 1.9126,                 1.2051,                 1.5296,                0.33369,                0.13889,                0.11674,                0.05313,                 2.1895,                 1.8567,                 1.9423,             0.00052315,             0.00052315,             0.00052315
                     30,                  1.913,                  1.185,                 1.5103,                 0.3728,                0.19526,                0.14835,                0.05701,                 2.2797,                 1.7813,                 1.9474,             0.00051608,             0.00051608,             0.00051608
                     31,                  1.929,                 1.2152,                  1.523,                0.36478,                0.19121,                0.12157,                0.05071,                 2.3178,                 1.9808,                 2.0284,             0.00050901,             0.00050901,             0.00050901
                     32,                 1.8903,                 1.1502,                 1.5042,                0.42377,                0.19547,                0.17918,                0.06936,                 2.1818,                  1.775,                 1.9219,             0.00050194,             0.00050194,             0.00050194
                     33,                 1.9065,                 1.1523,                 1.4984,                0.37428,                0.18438,                0.14562,                0.06058,                 2.2539,                 1.8163,                 1.9608,             0.00049487,             0.00049487,             0.00049487
                     34,                  1.896,                 1.1488,                 1.4921,                0.26462,                0.21861,                0.17819,                0.06702,                 2.2239,                 1.7215,                 1.9286,              0.0004878,              0.0004878,              0.0004878
                     35,                 1.8692,                 1.1245,                 1.4715,                0.54142,                0.20824,                0.18737,                0.07292,                 2.1742,                 1.6987,                 1.9067,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.8644,                 1.1384,                 1.5039,                0.54139,                0.21544,                0.18735,                0.07176,                 2.1718,                 1.6969,                 1.8638,             0.00047367,             0.00047367,             0.00047367
                     37,                  1.856,                 1.1133,                 1.4809,                0.50841,                0.23078,                0.18467,                0.07151,                 2.2201,                 1.7195,                 1.9213,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.8527,                 1.1393,                 1.4566,                0.42749,                0.17498,                0.17438,                0.06797,                 2.2063,                 1.6543,                 1.8976,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.8158,                 1.1063,                 1.4675,                 0.4409,                0.19204,                0.18705,                0.07834,                 2.1052,                 1.6399,                 1.8712,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.7858,                 1.0722,                 1.4326,                0.54734,                 0.1656,                0.17265,                0.07312,                 2.1861,                 1.6754,                 1.8889,             0.00044539,             0.00044539,             0.00044539
                     41,                 1.7974,                   1.08,                 1.4498,                 0.4838,                0.20762,                0.15459,                0.06478,                 2.1619,                 1.7863,                 1.8563,             0.00043832,             0.00043832,             0.00043832
                     42,                 1.8407,                  1.086,                 1.4505,                0.52459,                0.20978,                0.17454,                0.07086,                 2.1794,                 1.6369,                 1.8757,             0.00043126,             0.00043126,             0.00043126
                     43,                 1.8162,                 1.0699,                 1.4469,                0.43883,                 0.2173,                0.18143,                0.07195,                 2.1494,                 1.6439,                 1.8821,             0.00042419,             0.00042419,             0.00042419
                     44,                 1.8103,                 1.0864,                 1.4696,                 0.5713,                0.17655,                0.18852,                0.07426,                 2.1445,                 1.6366,                 1.8589,             0.00041712,             0.00041712,             0.00041712
