                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1903,                 5.1843,                 4.1011,                  6e-05,                0.01367,                  3e-05,                  1e-05,                 5.2829,                 6.3527,                 4.1464,             0.00018564,             0.00018564,             0.00018564
                      2,                 4.6782,                 3.6762,                 3.6722,                0.00016,                0.01477,                  9e-05,                  2e-05,                 5.3103,                 6.5347,                 4.2151,             0.00037467,             0.00037467,             0.00037467
                      3,                 4.2316,                 2.9013,                 3.2329,                  6e-05,                0.02788,                  8e-05,                  2e-05,                 5.2875,                 6.8025,                 4.2505,             0.00055989,             0.00055989,             0.00055989
                      4,                 3.6749,                 2.5912,                 2.8456,                 0.0083,                0.03142,                0.00691,                0.00228,                 4.2601,                 5.9496,                 3.6473,             0.00069279,             0.00069279,             0.00069279
                      5,                 3.3582,                 2.4975,                 2.6305,                0.92719,                 0.0248,                0.01526,                0.00468,                 3.5689,                   4.39,                 3.0806,             0.00069279,             0.00069279,             0.00069279
                      6,                 3.1796,                 2.3504,                 2.4914,                0.93856,                0.03223,                0.02979,                0.01084,                 3.2462,                 3.6232,                 2.6619,             0.00068573,             0.00068573,             0.00068573
                      7,                 3.0247,                 2.2048,                 2.3366,                0.84368,                0.04258,                0.03028,                0.00914,                 3.2366,                 3.0121,                  2.623,             0.00067866,             0.00067866,             0.00067866
                      8,                 2.9521,                 2.1433,                 2.2875,                 0.8657,                0.03353,                0.04797,                0.01774,                 3.0293,                 2.8977,                  2.473,             0.00067159,             0.00067159,             0.00067159
                      9,                 2.8876,                 1.9849,                 2.1965,                0.85541,                 0.0423,                 0.0459,                0.01668,                  2.974,                  2.825,                 2.4276,             0.00066452,             0.00066452,             0.00066452
                     10,                 2.7711,                 1.9367,                 2.1641,                0.75584,                0.05197,                  0.057,                0.02296,                 2.8633,                 2.7835,                 2.3231,             0.00065745,             0.00065745,             0.00065745
                     11,                 2.6687,                 1.8514,                 2.0838,                0.79484,                 0.0742,                0.07291,                0.02801,                 2.6978,                 2.4511,                 2.2746,             0.00065038,             0.00065038,             0.00065038
                     12,                 2.6614,                 1.7805,                 2.0239,                0.84903,                0.06897,                0.07976,                 0.0305,                  2.699,                 2.4899,                  2.271,             0.00064331,             0.00064331,             0.00064331
