                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7723,                 6.1515,                 4.3261,                      0,                      0,                      0,                      0,                 3.9695,                 6.3215,                 4.1669,             3.5822e-05,             3.5822e-05,             3.5822e-05
                      2,                 3.7091,                 5.9749,                 4.2408,                      0,                      0,                      0,                      0,                  3.964,                 6.3341,                 4.1674,             6.5012e-05,             6.5012e-05,             6.5012e-05
                      3,                 3.6139,                 5.5789,                 4.1669,                0.51224,                0.00155,                0.00029,                  7e-05,                 3.5984,                 6.8793,                 4.0833,             8.7008e-05,             8.7008e-05,             8.7008e-05
                      4,                 3.5427,                 5.2613,                 4.0296,                0.65259,                0.00238,                0.00231,                0.00059,                 3.5348,                  5.583,                 3.9744,             7.6627e-05,             7.6627e-05,             7.6627e-05
                      5,                 3.4944,                 5.0906,                 3.9087,                0.44403,                0.00319,                0.00144,                0.00042,                  3.483,                 5.3078,                 3.8598,             7.6627e-05,             7.6627e-05,             7.6627e-05
                      6,                 3.4007,                 4.9472,                 3.8275,                0.42115,                0.00305,                 0.0078,                0.00116,                 3.4426,                 5.2653,                 3.7896,             6.5836e-05,             6.5836e-05,             6.5836e-05
                      7,                 3.3701,                   4.87,                 3.7514,                0.17738,                0.00334,                  0.003,                0.00089,                 3.4145,                 5.2024,                 3.7233,             5.5045e-05,             5.5045e-05,             5.5045e-05
                      8,                 3.3164,                 4.7914,                 3.6799,                0.25866,                 0.0037,                0.00222,                0.00067,                 3.3827,                 5.1653,                 3.6664,             4.4254e-05,             4.4254e-05,             4.4254e-05
                      9,                  3.278,                 4.7119,                 3.6408,                 0.1545,                0.00422,                0.00311,                0.00094,                 3.3765,                 5.0851,                 3.6393,             3.3463e-05,             3.3463e-05,             3.3463e-05
                     10,                 3.2675,                 4.6808,                 3.6004,                0.20068,                 0.0041,                0.00258,                 0.0008,                 3.3619,                  5.085,                 3.6099,             2.2672e-05,             2.2672e-05,             2.2672e-05
