                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7814,                 6.1596,                 4.2687,                      0,                      0,                      0,                      0,                 3.9686,                 6.3259,                 4.1717,             3.5822e-05,             3.5822e-05,             3.5822e-05
                      2,                 3.6686,                 5.7434,                 4.1796,                0.00075,                0.00086,                0.00043,                  9e-05,                   3.86,                 5.9579,                 4.1152,             6.5012e-05,             6.5012e-05,             6.5012e-05
                      3,                 3.5474,                 5.1437,                 4.0451,                0.67705,                0.00332,                0.00193,                0.00057,                 3.5467,                 5.3254,                 3.9402,             8.7008e-05,             8.7008e-05,             8.7008e-05
                      4,                 3.5358,                 4.9285,                 3.9017,                0.70112,                0.00368,                0.00236,                0.00071,                 3.4884,                 5.2227,                 3.8342,             7.6627e-05,             7.6627e-05,             7.6627e-05
                      5,                 3.4784,                 4.7947,                 3.7989,                0.43482,                0.00412,                 0.0033,                0.00102,                 3.4634,                 5.0603,                 3.7604,             7.6627e-05,             7.6627e-05,             7.6627e-05
                      6,                 3.4158,                  4.678,                 3.7238,                0.38833,                0.00388,                0.00288,                0.00086,                 3.4485,                 4.9727,                 3.6908,             6.5836e-05,             6.5836e-05,             6.5836e-05
                      7,                 3.3783,                 4.6266,                  3.659,                0.29445,                0.00406,                0.00358,                0.00109,                 3.4166,                 4.8776,                 3.6531,             5.5045e-05,             5.5045e-05,             5.5045e-05
                      8,                 3.3368,                 4.5336,                 3.6014,                0.20412,                0.00456,                0.00332,                0.00099,                 3.4043,                 4.8423,                 3.6239,             4.4254e-05,             4.4254e-05,             4.4254e-05
                      9,                 3.2787,                 4.5027,                 3.5668,                0.24811,                0.00451,                0.00363,                 0.0011,                 3.3728,                 4.8245,                 3.6007,             3.3463e-05,             3.3463e-05,             3.3463e-05
                     10,                  3.267,                 4.4784,                 3.5403,                0.23723,                0.00467,                0.00372,                0.00114,                 3.3608,                 4.7907,                 3.5788,             2.2672e-05,             2.2672e-05,             2.2672e-05
