                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6545,                 5.9452,                 4.1876,                      0,                      0,                      0,                      0,                 3.9739,                 6.3541,                 4.1721,              0.0032864,              0.0032864,              0.0032864
                      2,                 3.3635,                 5.0935,                 3.8522,                0.78107,                0.00254,                0.00126,                0.00035,                 3.4104,                 5.3809,                 3.7086,              0.0059644,              0.0059644,              0.0059644
                      3,                 3.1773,                  4.847,                  3.491,                0.00074,                0.01158,                0.00064,                0.00022,                 3.3847,                 22.725,                 3.9259,              0.0079823,              0.0079823,              0.0079823
                      4,                  3.039,                 4.6417,                 3.2853,                0.35145,                0.01212,                0.00222,                 0.0006,                 3.3324,                 17.865,                 4.0705,                0.00703,                0.00703,                0.00703
                      5,                 2.9314,                 4.4756,                  3.096,                0.27358,                0.00627,                0.00467,                0.00143,                 2.9715,                 5.9576,                 3.1335,                0.00703,                0.00703,                0.00703
                      6,                  2.823,                 4.2754,                 2.9738,                 0.4025,                0.00852,                0.00665,                 0.0025,                 2.8833,                 4.8127,                 3.0438,                0.00604,                0.00604,                0.00604
                      7,                 2.6611,                 4.0378,                 2.8394,                0.32654,                0.00857,                0.01003,                0.00338,                 2.7307,                 4.4165,                 2.8936,                0.00505,                0.00505,                0.00505
                      8,                  2.562,                 3.8703,                 2.7211,                0.47314,                0.00634,                0.01108,                0.00444,                 2.6376,                 4.2633,                 2.8374,                0.00406,                0.00406,                0.00406
                      9,                 2.4588,                 3.7015,                 2.6219,                 0.4202,                0.00956,                0.01409,                0.00571,                  2.599,                 4.2387,                 2.7891,                0.00307,                0.00307,                0.00307
                     10,                  2.388,                 3.5831,                 2.5692,                0.44714,                0.01116,                0.01385,                0.00583,                 2.5971,                  4.117,                 2.7474,                0.00208,                0.00208,                0.00208
